Relationship Type,Concept 1,Concept 2,biobert,bluebert,clinicalbert,scibert,pubmedbert
Opposites,Hyperthyroidism,Hypothyroidism,0.97231174,0.9050108,0.97124016,0.81776214,0.78375626
Opposites,Hypertension,Hypotension,0.8791078,0.7715479,0.8328495,0.8357167,0.49332267
Opposites,Hyperglycemia,Hypoglycemia,0.95204985,0.9235177,0.9668175,0.91720474,0.6954605
Opposites,Tachycardia,Bradycardia,0.93082273,0.9100528,0.9776926,0.9124606,0.60142606
Opposites,Oxygenated Blood,Deoxygenated Blood,0.91384983,0.7660767,0.8527848,0.90075094,0.7748312
Opposites,Hyperkalemia,Hypokalemia,0.9685826,0.8679081,0.9529444,0.9886797,0.91942894
Opposites,Heat Stroke,Hypothermia,0.77692086,0.7161196,0.7660017,0.80216706,0.5827067
Opposites,Euphoria,Depression,0.7488147,0.7571243,0.77039486,0.68836117,0.2976648
Related Symptoms,Cough,Sore Throat,0.847584,0.8521275,0.880434,0.77462417,0.50047654
Related Symptoms,Fever,Chills,0.8456552,0.85639113,0.82707167,0.81246305,0.46032816
Related Symptoms,Fatigue,Lack of Energy,0.76487714,0.79107916,0.7646593,0.7351563,0.38683334
Related Symptoms,Nausea,Vomiting,0.9068788,0.92634887,0.88722837,0.9360913,0.67082953
Related Symptoms,Joint Pain,Swelling,0.74179745,0.8241478,0.8151363,0.6614599,0.37307715
Related Symptoms,Headache,Dizziness,0.71569693,0.85368854,0.8338574,0.72645783,0.48681626
Related Symptoms,Chest Pain,Shortness of Breath,0.8051802,0.78021723,0.85603774,0.658108,0.3257048
Related Symptoms,Runny Nose,Sneezing,0.8590918,0.7981281,0.87614334,0.7368716,0.53305024
Lexically Similar,Hematology,Hemoglobin,0.8705934,0.6661161,0.8205991,0.8000891,0.48351312
Lexically Similar,Neurology,Neuron,0.81157136,0.8697169,0.95709443,0.71782815,0.44727027
Lexically Similar,Cardiology,Cardiologist,0.95118093,0.92565686,0.9451196,0.7600398,0.8240037
Lexically Similar,Psychology,Psychiatry,0.67314464,0.90829,0.64187914,0.8331184,0.50432575
Lexically Similar,Dermatitis,Dermatology,0.9255788,0.9061588,0.9417898,0.85132235,0.69955724
Lexically Similar,Gastroenterology,Gastritis,0.81826866,0.8330486,0.8946083,0.7033977,0.39437503
Lexically Similar,Pediatrics,Pediatrician,0.98479277,0.8199573,0.96696883,0.73798025,0.7464256
Lexically Similar,Ophthalmology,Ophthalmologist,0.97606057,0.9310033,0.97191936,0.74856603,0.7998215
